id,full_name,last_name
76001,Alaa Abdelnaby,Abdelnaby
76002,Zaid Abdul-Aziz,Abdul-Aziz
76003,Kareem Abdul-Jabbar,Abdul-Jabbar
51,Mahmoud Abdul-Rauf,Abdul-Rauf
1505,Tariq Abdul-Wahad,Abdul-Wahad
949,Shareef Abdur-Rahim,Abdur-Rahim
76005,Tom Abernethy,Abernethy
76006,Forest Able,Able
76007,John Abramovic,Abramovic
203518,Alex Abrines,Abrines
1630173,Precious Achiuwa,Achiuwa
101165,Alex Acker,Acker
76008,Donald Ackerman,Ackerman
76009,Mark Acres,Acres
76010,Charles Acton,Acton
203112,Quincy Acy,Acy
76011,Alvan Adams,Adams
76012,Don Adams,Adams
200801,Hassan Adams,Adams
1629121,Jaylen Adams,Adams
203919,Jordan Adams,Adams
149,Michael Adams,Adams
203500,Steven Adams,Adams
912,Rafael Addison,Addison
1628389,Bam Adebayo,Adebayo
1629061,Deng Adel,Adel
76015,Rick Adelman,Adelman
202399,Jeff Adrien,Adrien
201167,Arron Afflalo,Afflalo
1630534,Ochai Agbaji,Agbaji
200772,Maurice Ager,Ager
76016,Mark Aguirre,Aguirre
201336,Blake Ahearn,Ahearn
76017,Danny Ainge,Ainge
201582,Alexis Ajinca,Ajinca
76018,Henry Akin,Akin
203006,Josh Akognon,Akognon
1629152,DeVaughn Akoon-Purcell,Akoon-Purcell
202374,Solomon Alabi,Alabi
76019,Mark Alarie,Alarie
76020,Gary Alcorn,Alcorn
1630583,Santi Aldama,Aldama
203128,Furkan Aldemir,Aldemir
202332,Cole Aldrich,Aldrich
200746,LaMarcus Aldridge,Aldridge
76021,Chuck Aleksinas,Aleksinas
1626146,Cliff Alexander,Alexander
724,Cory Alexander,Alexander
2042,Courtney Alexander,Alexander
76022,Gary Alexander,Alexander
201570,Joe Alexander,Alexander
1629734,Kyle Alexander,Alexander
1630234,Ty-Shon Alexander,Alexander
2349,Victor Alexander,Alexander
1629638,Nickeil Alexander-Walker,Alexander-Walker
76024,Steve Alford,Alford
1628959,Rawle Alkins,Alkins
76028,Bob Allen,Allen
1628960,Grayson Allen,Allen
1628386,Jarrett Allen,Allen
706,Jerome Allen,Allen
1628443,Kadeem Allen,Allen
202730,Lavoy Allen,Allen
76027,Lucius Allen,Allen
2124,Malik Allen,Allen
76025,Randy Allen,Allen
951,Ray Allen,Allen
2754,Tony Allen,Allen
76029,Odis Allison,Allison
200984,Lance Allred,Allred
76030,Darrell Allums,Allums
201165,Morris Almond,Almond
308,Derrick Alston,Alston
1747,Rafer Alston,Alston
1824,Peter Aluma,Aluma
1630631,Jose Alvarado,Alvarado
680,John Amaechi,Amaechi
732,Ashraf Amaya,Amaya
202329,Al-Farouq Aminu,Aminu
200811,Lou Amundson,Amundson
76034,Bob Anderegg,Anderegg
2365,Chris Andersen,Andersen
2431,David Andersen,Andersen
101187,Alan Anderson,Anderson
202079,Antonio Anderson,Anderson
76035,Cliff Anderson,Anderson
76036,Daniel Anderson,Anderson
1507,Derek Anderson,Anderson
76037,Dwight Anderson,Anderson
944,Eric Anderson,Anderson
246,Greg Anderson,Anderson
202341,James Anderson,Anderson
76040,Jerome Anderson,Anderson
1626147,Justin Anderson,Anderson
72,Kenny Anderson,Anderson
76041,Kim Anderson,Anderson
203937,Kyle Anderson,Anderson
76042,Michael Anderson,Anderson
76043,Mitchell Anderson,Anderson
98,Nick Anderson,Anderson
76045,Richard Anderson,Anderson
76046,Ron Anderson,Anderson
201583,Ryan Anderson,Anderson
1000,Shandon Anderson,Anderson
335,Willie Anderson,Anderson
76048,Wally Anderzunas,Anderzunas
101149,Martynas Andriuskevicius,Andriuskevicius
76049,Don Anielak,Anielak
1628387,Ike Anigbogu,Anigbogu
76050,Michael Ansley,Ansley
1512,Chris Anstey,Anstey
203507,Giannis Antetokounmpo,Antetokounmpo
1628961,Kostas Antetokounmpo,Antetokounmpo
203648,Thanasis Antetokounmpo,Antetokounmpo
2546,Carmelo Anthony,Anthony
1630175,Cole Anthony,Anthony
21,Greg Anthony,Anthony
201202,Joel Anthony,Anthony
203544,Pero Antic,Antic
1628384,O.G. Anunoby,Anunoby
203951,Keith Appling,Appling
2737,Rafael Araujo,Araujo
76053,Stacey Arceneaux,Arceneaux
76054,Nate Archibald,Archibald
2425,Robert Archibald,Archibald
1627853,Ryan Arcidiacono,Arcidiacono
76055,Jim Ard,Ard
2240,Gilbert Arenas,Arenas
2772,Trevor Ariza,Ariza
76056,Paul Arizin,Arizin
76057,Joe Arlauckas,Arlauckas
769,B.J. Armstrong,Armstrong
76061,Bob Armstrong,Armstrong
2220,Brandon Armstrong,Armstrong
353,Darrell Armstrong,Armstrong
200756,Hilton Armstrong,Armstrong
76060,Paul Armstrong,Armstrong
76059,Tate Armstrong,Armstrong
76062,Jesse Arnelle,Arnelle
76063,Jay Arnette,Arnette
76064,Bob Arnzen,Arnzen
2306,Carlos Arroyo,Arroyo
201589,Darrell Arthur,Arthur
76065,John Arthurs,Arthurs
1628503,Jamel Artis,Artis
201600,Omer Asik,Asik
