WIN,JOKIC_PTS,JOKIC_REB,JOKIC_AST,MURRAY_PTS,MURRAY_REB,MURRAY_AST,REST_PTS,REST_REB,REST_AST,PLAYOFFS
1,8,3,5,0,3,4,94,38,15,0
0,6,6,0,9,1,2,71,41,13,0
1,13,14,10,10,1,5,87,30,6,0
1,19,10,7,9,3,0,88,27,18,0
1,21,12,4,16,5,5,97,33,22,0
1,23,12,5,30,4,5,69,34,21,0
0,23,6,3,6,6,5,76,30,14,0
1,7,8,4,10,2,10,92,43,17,0
1,29,16,8,27,2,6,55,25,8,0
0,7,12,7,8,2,2,81,24,12,0
1,0,9,7,2,2,2,94,47,16,0
0,29,9,5,8,3,6,67,32,16,0
0,18,12,0,16,3,5,59,36,13,0
1,18,15,5,6,3,0,81,28,20,0
1,21,14,4,26,1,5,77,31,14,0
0,28,8,2,20,3,2,62,25,16,0
1,8,16,10,24,3,2,97,24,23,0
1,19,14,2,3,1,1,73,26,14,0
0,8,7,3,9,1,1,91,38,22,0
1,41,12,5,4,2,4,67,33,17,0
1,15,11,3,9,3,2,78,31,22,0
1,12,17,9,32,4,1,81,29,19,0
0,6,7,3,18,5,0,58,23,10,0
1,13,11,6,31,2,4,102,35,27,0
0,6,6,1,10,4,1,93,37,16,0
1,16,14,3,18,2,1,80,33,14,0
0,17,6,3,8,7,3,70,30,13,0
1,28,13,8,15,6,4,61,31,12,0
0,7,6,6,10,1,2,60,35,5,0
1,8,4,4,5,4,1,98,36,17,0
0,22,6,4,30,4,3,52,32,20,0
1,27,9,6,7,2,4,68,38,9,0
1,18,9,4,14,6,5,64,30,16,0
1,13,7,5,22,8,2,72,38,16,0
0,22,9,4,21,7,8,82,32,14,0
0,19,13,6,31,8,3,52,27,9,0
1,14,9,8,13,0,2,107,39,25,0
1,8,10,4,26,6,3,65,21,17,0
0,8,7,10,18,5,0,72,34,10,0
0,22,12,11,21,2,6,71,25,13,0
0,9,12,7,13,2,3,75,26,17,0
1,14,7,3,11,4,3,62,36,9,0
0,23,9,7,2,1,2,55,31,9,0
1,29,18,7,7,3,1,69,26,15,0
0,14,17,5,30,5,2,56,20,16,0
1,16,12,5,38,5,6,50,32,12,0
1,18,7,10,18,5,5,94,20,21,0
0,24,11,5,14,4,8,72,32,18,0
0,13,7,8,18,6,1,73,25,13,0
1,29,13,14,33,3,5,65,27,13,0
1,19,9,5,15,4,2,81,35,21,0
1,15,16,7,18,4,7,88,21,16,0
0,14,7,5,6,1,2,84,31,18,0
1,21,9,8,12,1,2,90,27,10,0
1,23,13,11,17,5,1,77,17,17,0
1,30,15,17,26,5,5,78,14,15,0
1,28,11,11,9,9,7,85,32,15,0
0,21,14,8,19,2,5,74,20,20,0
0,18,6,4,18,2,5,84,33,18,0
1,9,9,5,9,2,4,90,26,9,0
1,9,7,8,16,3,5,101,25,22,0
0,4,9,5,6,0,0,97,40,18,0
0,36,13,6,11,7,3,61,31,13,0
1,21,6,6,22,3,8,82,27,16,0
1,20,11,10,20,3,5,90,37,23,0
0,15,9,5,18,6,4,70,29,17,0
1,23,12,10,26,9,1,71,24,15,0
0,17,13,2,16,3,3,61,33,12,0
0,34,15,3,23,5,5,84,26,15,0
1,21,7,5,16,5,7,98,33,22,0
1,25,8,5,25,6,3,58,24,17,0
0,14,7,4,17,3,3,73,27,20,0
0,29,16,8,15,4,3,66,20,15,0
1,23,16,6,15,4,5,88,38,16,0
1,35,13,5,27,2,7,66,42,15,0
1,30,6,7,12,4,7,65,39,17,0
1,16,14,9,22,2,1,62,31,11,0
1,23,11,11,19,3,7,92,19,18,0
1,15,20,11,12,2,2,61,30,9,0
0,35,10,3,20,6,6,51,31,10,0
1,21,8,5,7,5,3,79,43,12,0
1,35,11,11,26,3,5,58,40,12,0
1,23,11,6,3,2,2,74,34,13,0
1,14,12,6,19,1,4,93,36,21,0
0,24,11,3,22,10,1,68,23,18,0
1,12,9,10,23,5,2,81,27,16,0
1,22,12,9,12,8,6,74,36,9,0
1,4,6,3,10,1,3,96,37,16,0
1,7,10,16,19,5,4,77,33,12,0
1,8,10,8,48,5,4,59,32,13,0
0,4,7,4,15,4,7,68,30,8,0
0,37,21,3,16,2,5,57,31,12,0
0,20,6,6,14,5,2,80,28,19,0
0,14,12,7,15,1,5,70,18,15,0
0,25,10,8,11,2,6,79,31,16,0
0,20,5,5,17,8,9,61,30,16,0
1,7,12,10,18,3,4,78,25,15,0
1,6,10,11,16,5,6,90,36,16,0
1,16,6,5,22,8,8,67,40,13,0
1,14,7,7,20,3,4,83,50,17,0
1,15,6,7,10,2,7,88,33,14,0
1,23,11,15,21,7,8,62,31,9,0
1,12,8,13,31,4,8,81,31,13,0
0,16,11,6,20,5,7,71,39,11,0
0,24,11,7,4,6,3,70,31,18,0
1,27,12,6,16,0,5,62,28,11,0
1,24,15,9,19,9,1,66,24,19,0
1,26,10,4,19,5,4,50,29,13,0
1,32,16,4,22,7,15,72,24,14,0
0,19,6,3,18,3,2,74,28,16,0
0,4,4,10,9,5,2,90,38,17,0
1,21,9,9,31,6,3,50,37,17,0
1,23,8,9,46,6,8,53,26,14,0
1,19,14,15,8,3,5,88,36,16,0
1,26,13,6,36,7,6,55,34,12,0
1,39,12,6,8,6,7,76,28,17,0
0,24,13,4,13,2,4,76,31,18,0
1,29,11,10,18,4,6,56,35,16,0
1,18,14,10,23,6,2,80,33,17,0
0,23,10,4,12,9,5,58,31,16,0
1,40,10,8,24,4,3,52,21,10,0
0,17,4,8,21,3,4,73,29,18,0
1,18,8,11,25,2,5,92,35,18,0
1,19,11,12,26,2,5,79,30,16,0
0,28,21,6,9,0,3,71,29,11,0
0,25,14,10,19,3,11,86,31,11,0
0,27,10,10,23,5,6,60,25,19,0
1,23,12,4,10,1,5,70,32,18,0
1,20,18,11,10,2,4,90,33,11,0
1,19,13,8,12,5,4,83,45,20,0
1,22,16,3,16,4,6,85,36,21,0
1,36,9,10,20,5,5,65,33,13,0
0,16,13,7,21,4,3,67,38,15,0
0,20,9,7,20,3,4,72,32,14,0
0,22,10,6,25,2,8,56,31,13,0
1,12,17,8,19,8,4,84,30,21,0
0,16,6,4,11,0,3,78,40,14,0
1,18,8,7,30,3,1,85,25,32,0
1,11,14,8,12,5,7,77,25,12,0
1,26,7,5,17,3,3,59,29,19,0
1,21,13,7,11,4,2,82,34,20,0
1,15,6,11,15,4,2,83,30,17,0
1,21,17,5,18,5,5,72,40,14,0
0,19,11,8,4,5,5,65,25,8,0
1,23,15,2,33,3,5,39,38,15,0
0,16,8,6,20,4,3,49,26,13,0
1,23,16,3,27,5,9,65,18,18,0
0,23,14,4,12,2,2,55,41,12,0
0,10,5,6,17,4,3,75,31,14,0
1,20,11,9,14,6,11,79,30,21,0
1,22,13,9,23,4,6,74,22,12,0
0,2,5,2,22,5,1,84,21,21,0
1,29,14,2,17,8,7,53,31,14,0
0,10,14,14,17,2,0,69,30,11,1
1,21,13,8,24,2,4,69,26,17,1
0,22,8,7,6,1,2,80,28,22,1
1,29,12,8,24,2,6,64,31,11,1
1,16,11,8,23,4,7,69,34,10,1
0,43,12,9,16,3,6,44,22,11,1
1,21,15,10,23,5,4,46,33,7,1
1,37,9,6,23,0,8,61,25,8,1
0,16,14,7,15,7,1,59,37,12,1
0,33,18,14,34,9,5,70,39,9,1
1,21,12,11,34,5,4,61,28,6,1
1,25,19,6,18,5,9,81,38,11,1
0,29,12,8,24,10,5,55,22,9,1
0,29,13,2,17,6,5,50,32,8,1
1,20,13,2,14,5,6,74,27,16,0
1,23,14,12,27,7,3,58,24,6,0
1,9,13,2,18,4,3,74,37,14,0
0,10,10,10,16,6,1,80,34,13,0
0,13,6,6,14,3,6,80,26,12,0
1,20,7,4,22,4,2,49,30,9,0
1,9,5,5,21,5,4,79,37,26,0
1,26,10,6,22,6,11,52,25,11,0
1,20,6,7,15,5,2,65,46,17,0
0,20,6,7,18,3,8,83,31,16,0
1,18,10,3,4,5,4,79,47,19,0
1,9,5,8,39,4,8,83,30,20,0
1,27,12,4,10,1,9,68,35,16,0
1,18,16,10,22,6,5,56,26,9,0
1,8,13,5,22,7,3,86,32,16,0
1,8,20,5,16,2,2,93,36,24,0
0,7,10,6,15,4,6,75,34,11,0
0,13,5,8,22,5,5,61,25,13,0
1,6,10,8,14,3,4,109,35,26,0
0,30,10,4,10,3,3,55,28,11,0
0,24,11,6,21,3,5,57,23,14,0
0,15,7,11,0,1,0,77,30,18,0
1,20,11,6,12,6,3,82,31,16,0
1,28,14,12,14,5,7,68,25,11,0
1,25,10,5,14,6,4,72,32,18,0
1,18,9,12,33,5,1,62,38,15,0
1,22,10,10,28,6,5,59,28,12,0
1,18,6,5,6,3,5,104,35,21,0
1,22,12,10,28,3,7,63,24,14,0
0,23,10,4,8,4,3,69,26,17,0
1,31,10,10,15,5,5,73,28,13,0
1,17,8,4,13,4,7,90,25,12,0
0,21,8,4,12,0,6,71,31,15,0
1,22,7,0,22,5,7,80,35,20,0
0,14,10,4,39,1,4,61,22,10,0
1,47,8,5,16,5,8,60,28,14,0
1,33,6,7,14,3,5,60,29,15,0
0,19,12,5,24,5,3,60,25,15,0
1,20,15,6,19,4,2,75,25,16,0
1,12,8,8,5,1,1,83,31,19,0
1,29,13,9,20,2,6,78,35,15,0
1,30,21,10,31,2,4,37,29,9,0
1,23,9,6,36,5,5,58,26,12,0
1,19,8,13,26,2,6,82,27,15,0
0,22,11,6,32,3,10,62,28,16,0
0,32,7,5,21,6,4,48,26,10,0
1,24,7,6,19,1,6,85,30,17,0
1,16,5,4,16,5,8,83,31,21,0
0,21,9,2,11,2,2,71,28,15,0
1,23,18,11,22,1,5,88,22,22,0
0,16,13,7,14,6,3,70,34,12,0
1,14,11,8,18,3,6,82,24,15,0
0,8,8,8,17,5,7,77,20,13,0
1,10,9,7,21,5,6,78,34,15,0
0,14,13,8,25,6,5,58,21,10,0
1,30,11,7,23,12,8,81,29,14,0
0,12,1,4,14,4,3,95,30,20,0
0,17,7,13,10,3,6,84,32,14,0
0,2,1,2,11,0,1,96,40,24,0
1,29,10,3,36,5,9,70,26,11,1
0,28,11,6,14,3,4,63,27,12,1
0,15,5,6,12,5,6,60,35,8,1
0,29,7,6,50,11,7,48,22,12,1
1,31,6,4,42,8,8,44,24,10,1
1,22,4,9,50,5,6,47,34,7,1
1,30,14,4,17,2,4,33,30,13,1
0,15,3,3,12,3,6,70,34,11,1
1,26,18,4,27,3,6,57,24,8,1
0,32,12,8,14,4,9,61,20,15,1
0,26,11,6,18,4,7,41,23,6,1
1,22,14,5,26,8,7,63,22,8,1
1,34,14,7,21,5,5,56,22,14,1
1,16,22,13,40,4,5,48,27,4,1
0,21,6,2,21,1,5,72,30,16,1
0,30,6,9,25,6,4,48,19,9,1
1,22,10,5,28,8,12,64,26,9,1
0,16,7,4,32,3,8,60,23,10,1
0,20,7,5,19,4,8,68,25,10,1
0,29,15,14,9,4,1,84,27,13,0
0,24,9,10,23,5,3,61,18,12,0
1,19,12,18,21,5,2,84,35,11,0
0,17,9,11,31,4,5,55,25,12,0
1,19,12,12,36,5,4,69,26,18,0
1,35,15,6,13,1,3,75,26,13,0
0,38,11,4,21,4,9,58,32,12,0
1,15,9,12,14,1,4,86,35,12,0
1,22,10,5,9,0,3,83,33,15,0
0,23,8,11,20,0,4,73,24,13,0
1,23,14,10,17,9,6,74,27,13,0
0,35,14,9,30,5,4,40,33,12,0
1,27,12,6,5,2,4,87,44,19,0
1,31,10,8,18,7,9,81,26,15,0
1,29,22,6,26,6,5,65,37,11,0
1,20,10,4,16,3,2,81,36,19,0
1,21,11,3,14,5,4,74,33,22,0
0,35,10,5,20,6,7,54,21,13,0
1,47,12,5,16,4,5,65,23,18,0
0,13,9,6,20,3,5,60,30,8,0
0,35,12,6,11,3,4,66,23,12,0
1,12,6,12,8,4,4,113,29,15,0
1,22,13,9,22,5,5,53,23,10,0
1,23,16,10,25,6,4,74,25,14,0
0,43,6,5,25,6,6,31,26,14,0
0,33,7,9,35,9,6,60,26,8,0
1,16,12,10,50,6,2,54,19,12,0
0,15,10,6,30,4,4,70,19,15,0
1,41,5,5,24,5,8,46,30,12,0
0,24,11,7,34,6,6,52,27,10,0
1,19,11,13,26,2,5,81,36,12,0
1,39,14,9,24,2,3,55,34,10,0
1,37,10,11,24,3,6,67,32,11,0
1,20,12,8,23,2,4,70,27,15,0
1,28,15,7,3,3,5,72,27,15,0
0,26,9,11,10,2,5,67,31,11,0
1,32,14,5,16,6,8,73,34,19,0
1,12,10,10,19,2,5,98,36,22,0
1,34,15,9,34,2,5,63,26,15,0
0,29,10,10,23,3,7,56,24,13,0
1,28,15,10,21,4,4,61,33,11,0
0,20,10,5,20,2,7,71,34,13,0
